Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 37.88      8.54     8.54 306656698     0.00     0.00  compare_val
 19.97     13.04     4.50   273169     0.00     0.00  camlList__assoc_1169
  9.17     15.10     2.07 633527269     0.00     0.00  caml_page_table_lookup
  8.72     17.07     1.97   260756     0.00     0.00  camlList__remove_assoc_1189
  7.10     18.67     1.60 612779467     0.00     0.00  caml_string_length
  4.97     19.79     1.12 306656692     0.00     0.00  caml_compare
  2.84     20.43     0.64                             caml_c_call
  1.53     20.77     0.35    14417     0.00     0.00  caml_page_table_modify
  1.07     21.01     0.24     1115     0.00     0.00  sweep_slice
  0.89     21.21     0.20      484     0.00     0.00  mark_slice
  0.67     21.36     0.15        1     0.15     0.15  caml_init_ieee_floats
  0.58     21.49     0.13     1593     0.00     0.00  caml_oldify_mopup
  0.58     21.62     0.13                             caml_allocN
  0.40     21.71     0.09 13963151     0.00     0.00  caml_oldify_one
  0.40     21.80     0.09 13776481     0.00     0.00  caml_fl_merge_block
  0.36     21.88     0.08 13832291     0.00     0.00  caml_fl_allocate
  0.31     21.95     0.07 13832263     0.00     0.00  caml_alloc_shr
  0.29     22.02     0.07                             compare_stack_overflow
  0.22     22.07     0.05  1092680     0.00     0.00  camlHashtbl__find_1093
  0.20     22.11     0.05                             camlList__mem_assq_1184
  0.18     22.15     0.04   546340     0.00     0.00  camlScanf__delay_1694
  0.13     22.18     0.03 13832263     0.00     0.00  allocate_block
  0.13     22.21     0.03   546340     0.00     0.00  camlScanf__scan_conversion_1708
  0.13     22.24     0.03   273171     0.00     0.00  camlPrintf__scan_fmt_1144
  0.09     22.26     0.02  1202064     0.00     0.00  compact_allocate
  0.09     22.28     0.02   819510     0.00     0.00  caml_curry3_1
  0.09     22.30     0.02   546340     0.00     0.00  camlScanf__loop_1607
  0.09     22.32     0.02   546340     0.00     0.00  camlScanf__scan_chars_in_char_set_1596
  0.09     22.34     0.02     1593     0.00     0.00  caml_oldify_local_roots
  0.04     22.35     0.01  2269885     0.00     0.00  camlScanf__fun_2530
  0.04     22.36     0.01  1748373     0.00     0.00  camlBuffer__add_char_1072
  0.04     22.37     0.01  1215523     0.00     0.00  camlChar__lowercase_1043
  0.04     22.38     0.01  1105093     0.00     0.00  camlString__sub_1046
  0.04     22.39     0.01  1092684     0.00     0.00  caml_hash_univ_param
  0.04     22.40     0.01   634712     0.00     0.00  invert_pointer_at
  0.04     22.41     0.01   546340     0.00     0.00  camlScanf__scan_limits_1707
  0.04     22.42     0.01   546340     0.00     0.00  camlScanf__scan_skip_1706
  0.04     22.43     0.01   273170     0.00     0.00  camlOptim0__fun_1064
  0.04     22.44     0.01   273170     0.00     0.00  camlScanf__ascanf_1662
  0.04     22.45     0.01   273170     0.00     0.00  camlScanf__fun_1926
  0.04     22.46     0.01   273170     0.00     0.00  camlScanf__scan_format_1685
  0.04     22.47     0.01   273169     0.00     0.00  camlString__map_1090
  0.04     22.48     0.01    24826     0.00     0.00  camlPervasives__output_string_1191
  0.04     22.49     0.01        3     0.00     0.07  caml_compact_heap
  0.04     22.50     0.01        1     0.01     6.49  camlList__fold_left_1078
  0.04     22.51     0.01                             caml_ext_table_free
  0.04     22.52     0.01                             truncate_flp
  0.02     22.53     0.01   273170     0.00     0.00  caml_curry5
  0.02     22.53     0.01                             caml_curry6_5
  0.00     22.53     0.00  1750737     0.00     0.00  caml_apply2
  0.00     22.53     0.00  1723549     0.00     0.00  camlScanf__next_1158
  0.00     22.53     0.00  1403097     0.00     0.00  caml_alloc_string
  0.00     22.53     0.00  1390681     0.00     0.00  caml_create_string
  0.00     22.53     0.00  1117508     0.00     0.00  caml_apply3
  0.00     22.53     0.00  1105093     0.00     0.00  caml_blit_string
  0.00     22.53     0.00  1092684     0.00     0.00  hash_aux
  0.00     22.53     0.00   819516     0.00     0.00  caml_curry3
  0.00     22.53     0.00   819510     0.00     0.00  camlScanf__scan_fmt_1705
  0.00     22.53     0.00   819510     0.00     0.00  caml_curry3_2
  0.00     22.53     0.00   571172     0.00     0.00  caml_modify
  0.00     22.53     0.00   571167     0.00     0.00  camlPrintf__index_of_int_1037
  0.00     22.53     0.00   571166     0.00     0.00  caml_curry2_1
  0.00     22.53     0.00   546342     0.00     0.00  camlPrintf__add_conv_1191
  0.00     22.53     0.00   546342     0.00     0.00  camlPrintf__incr_ac_1187
  0.00     22.53     0.00   546342     0.00     0.00  camlPrintf__scan_conv_1143
  0.00     22.53     0.00   546342     0.00     0.00  camlPrintf__scan_flags_1142
  0.00     22.53     0.00   546340     0.00     0.00  camlScanf__find_in_set_1483
  0.00     22.53     0.00   546340     0.00     0.00  camlScanf__find_set_1484
