Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 11.00      0.11     0.11      163     0.67     0.85  mark_slice
  8.00      0.19     0.08 10813110     0.00     0.00  caml_string_length
  8.00      0.27     0.08      182     0.44     0.49  sweep_slice
  5.00      0.32     0.05 10654925     0.00     0.00  caml_page_table_lookup
  4.00      0.36     0.04  4580837     0.00     0.00  camlString__compare_1145
  4.00      0.40     0.04  2853926     0.00     0.00  caml_alloc_shr
  3.00      0.43     0.03  2855690     0.00     0.00  caml_oldify_one
  3.00      0.46     0.03  1403100     0.00     0.00  caml_alloc_string
  3.00      0.49     0.03   546340     0.00     0.00  camlScanf__scan_chars_in_char_set_1596
  3.00      0.52     0.03   546339     0.00     0.00  caml_string_equal
  3.00      0.55     0.03      343     0.09     0.35  caml_oldify_mopup
  2.50      0.58     0.03  1092682     0.00     0.00  compare_val
  2.00      0.60     0.02  4580837     0.00     0.00  caml_string_compare
  2.00      0.62     0.02  1105094     0.00     0.00  camlString__sub_1046
  2.00      0.64     0.02  1092928     0.00     0.00  compact_allocate
  2.00      0.66     0.02   546342     0.00     0.00  camlPrintf__scan_conv_1143
  2.00      0.68     0.02   546340     0.00     0.00  camlScanf__read_char_set_1479
  2.00      0.70     0.02   273171     0.00     0.00  camlPrintf__scan_fmt_1144
  2.00      0.72     0.02   143486     0.00     0.00  camlList__rev_append_1051
  2.00      0.74     0.02    43690     0.00     0.00  camlList__rev_merge_1251
  1.00      0.75     0.01  6331583     0.00     0.00  caml_apply2
  1.00      0.76     0.01  2853956     0.00     0.00  caml_fl_allocate
  1.00      0.77     0.01  2853926     0.00     0.00  allocate_block
  1.00      0.78     0.01  1912979     0.00     0.00  caml_fl_merge_block
  1.00      0.79     0.01  1723549     0.00     0.00  camlScanf__next_1158
  1.00      0.80     0.01  1092684     0.00     0.00  caml_hash_univ_param
  1.00      0.81     0.01  1092684     0.00     0.00  hash_aux
  1.00      0.82     0.01  1092680     0.00     0.00  camlHashtbl__find_1093
  1.00      0.83     0.01   819510     0.00     0.00  camlScanf__scan_fmt_1705
  1.00      0.84     0.01   819510     0.00     0.00  caml_curry3_1
  1.00      0.85     0.01   547142     0.00     0.00  invert_pointer_at
  1.00      0.86     0.01   546340     0.00     0.00  camlScanf__loop_1607
  1.00      0.87     0.01   546340     0.00     0.00  camlScanf__scan_limits_1707
  1.00      0.88     0.01   273170     0.00     0.00  camlScanf__ascanf_1662
  1.00      0.89     0.01   273170     0.00     0.00  camlScanf__kscanf_1788
  1.00      0.90     0.01   273170     0.00     0.00  camlScanf__scan_1702
  1.00      0.91     0.01   273169     0.00     0.00  camlString__map_1090
  1.00      0.92     0.01    87381     0.00     0.00  camlList__rev_merge_rev_1261
  1.00      0.93     0.01    24828     0.00     0.00  camlPrintf__scan_conv_1293
  1.00      0.94     0.01        2     5.00     5.00  init_compact_allocate
  1.00      0.95     0.01        1    10.00   219.24  camlOptim2__read_words_1030
  1.00      0.96     0.01        1    10.00    52.56  caml_compact_heap
  1.00      0.97     0.01        1    10.00    10.00  caml_init_ieee_floats
  1.00      0.98     0.01                             camlString__rcontains_from_1140
  1.00      0.99     0.01                             caml_alloc_tuple
  1.00      1.00     0.01                             caml_deserialize_error
  0.50      1.00     0.01                             compare_stack_overflow
  0.00      1.00     0.00  2269885     0.00     0.00  camlScanf__fun_2530
  0.00      1.00     0.00  1748375     0.00     0.00  camlBuffer__add_char_1072
  0.00      1.00     0.00  1390683     0.00     0.00  caml_create_string
  0.00      1.00     0.00  1215523     0.00     0.00  camlChar__lowercase_1043
  0.00      1.00     0.00  1117510     0.00     0.00  caml_apply3
  0.00      1.00     0.00  1105094     0.00     0.00  caml_blit_string
  0.00      1.00     0.00  1092676     0.00     0.00  caml_compare
  0.00      1.00     0.00   819516     0.00     0.00  caml_curry3
  0.00      1.00     0.00   819510     0.00     0.00  caml_curry3_2
  0.00      1.00     0.00   571174     0.00     0.00  caml_modify
  0.00      1.00     0.00   571169     0.00     0.00  camlPrintf__index_of_int_1037
  0.00      1.00     0.00   571168     0.00     0.00  caml_curry2_1
  0.00      1.00     0.00   546342     0.00     0.00  camlPrintf__add_conv_1191
  0.00      1.00     0.00   546342     0.00     0.00  camlPrintf__incr_ac_1187
  0.00      1.00     0.00   546342     0.00     0.00  camlPrintf__scan_flags_1142
  0.00      1.00     0.00   546340     0.00     0.00  camlScanf__delay_1694
  0.00      1.00     0.00   546340     0.00     0.00  camlScanf__find_in_set_1483
  0.00      1.00     0.00   546340     0.00     0.00  camlScanf__find_set_1484
  0.00      1.00     0.00   546340     0.00     0.00  camlScanf__ignore_stoppers_1260
  0.00      1.00     0.00   546340     0.00     0.00  camlScanf__scan_conversion_1708
  0.00      1.00     0.00   546340     0.00     0.00  camlScanf__scan_fmt_stoppers_1709
  0.00      1.00     0.00   546340     0.00     0.00  camlScanf__scan_skip_1706
  0.00      1.00     0.00   546340     0.00     0.00  camlScanf__stack_1697
  0.00      1.00     0.00   273173     0.00     0.00  caml_curry2
  0.00      1.00     0.00   273171     0.00     0.00  camlPrintf__ac_of_format_1184
  0.00      1.00     0.00   273171     0.00     0.00  camlPrintf__iter_on_format_args_1137
  0.00      1.00     0.00   273170     0.00     0.00  camlBuffer__reset_1064
  0.00      1.00     0.00   273170     0.00     0.00  camlList__assq_1174
