Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 36.01     11.68    11.68 306656698     0.00     0.00  compare_val
 23.77     19.38     7.71   273169     0.00     0.00  camlOptim3_5__assoc_1038
 11.55     23.13     3.75   260756     0.00     0.00  camlOptim3_5__remove_assoc_1043
  9.90     26.34     3.21 633191604     0.00     0.00  caml_page_table_lookup
  6.60     28.48     2.14 613325807     0.00     0.00  caml_string_length
  3.59     29.64     1.17 306656692     0.00     0.00  caml_compare
  1.51     30.13     0.49                             caml_c_call
  1.11     30.49     0.36      471     0.00     0.00  mark_slice
  0.89     30.78     0.29    15161     0.00     0.00  caml_page_table_modify
  0.71     31.01     0.23     1130     0.00     0.00  sweep_slice
  0.65     31.22     0.21        1     0.21     0.21  caml_init_ieee_floats
  0.65     31.43     0.21                             caml_allocN
  0.34     31.54     0.11     1593     0.00     0.00  caml_oldify_mopup
  0.32     31.65     0.11 13949750     0.00     0.00  caml_oldify_one
  0.31     31.75     0.10 13765509     0.00     0.00  caml_fl_merge_block
  0.26     31.83     0.09 13819588     0.00     0.00  caml_fl_allocate
  0.19     31.89     0.06 13819558     0.00     0.00  caml_alloc_shr
  0.12     31.93     0.04  1092680     0.00     0.00  camlHashtbl__find_1093
  0.12     31.97     0.04                             compare_stack_overflow
  0.09     32.00     0.03  1748373     0.00     0.00  camlBuffer__add_char_1072
  0.09     32.03     0.03     1593     0.00     0.00  caml_oldify_local_roots
  0.08     32.06     0.03  1750737     0.00     0.00  caml_apply2
  0.06     32.08     0.02 13819558     0.00     0.00  allocate_block
  0.06     32.10     0.02   819510     0.00     0.00  caml_curry3_2
  0.06     32.12     0.02   546340     0.00     0.00  camlScanf__find_in_set_1483
  0.06     32.14     0.02   546340     0.00     0.00  camlScanf__scan_conversion_1708
  0.06     32.16     0.02   273171     0.00     0.00  camlPrintf__scan_fmt_1144
  0.05     32.17     0.02        1     0.02     0.02  caml_alloc_table
  0.05     32.19     0.02                             truncate_flp
  0.03     32.20     0.01  1723549     0.00     0.00  camlScanf__next_1158
  0.03     32.21     0.01  1105093     0.00     0.00  caml_blit_string
  0.03     32.22     0.01  1092684     0.00     0.00  caml_hash_univ_param
  0.03     32.23     0.01  1092684     0.00     0.00  hash_aux
  0.03     32.24     0.01   819510     0.00     0.00  camlScanf__scan_fmt_1705
  0.03     32.25     0.01   571167     0.00     0.00  camlPrintf__index_of_int_1037
  0.03     32.26     0.01   571166     0.00     0.00  caml_curry2_1
  0.03     32.27     0.01   546342     0.00     0.00  camlPrintf__incr_ac_1187
  0.03     32.28     0.01   546340     0.00     0.00  camlScanf__delay_1694
  0.03     32.29     0.01   546340     0.00     0.00  camlScanf__find_set_1484
  0.03     32.30     0.01   546340     0.00     0.00  camlScanf__loop_1607
  0.03     32.31     0.01   546340     0.00     0.00  camlScanf__scan_chars_in_char_set_1596
  0.03     32.32     0.01   273171     0.00     0.00  camlPrintf__ac_of_format_1184
  0.03     32.33     0.01   273170     0.00     0.00  camlOptim3_5__fun_1080
  0.03     32.34     0.01   273170     0.00     0.00  camlScanf__scan_format_1685
  0.03     32.35     0.01   273169     0.00     0.00  camlString__map_1090
  0.03     32.36     0.01        4     0.00     0.04  caml_compact_heap
  0.03     32.37     0.01        4     0.00     0.00  caml_fl_reset
  0.03     32.38     0.01        1     0.01    11.48  camlList__fold_left_1078
  0.03     32.39     0.01                             camlHashtbl__find_rec_1088
  0.03     32.40     0.01                             caml_allocation_color
  0.03     32.41     0.01                             caml_equal
  0.03     32.42     0.01                             caml_ext_table_free
